time_key,open,close,high,low,volume
2024-07-11,31.2,33.05,33.4,31.1,31673406
2024-07-12,34.1,34.45,34.45,33.15,19342434
2024-07-15,34.2,32.9,34.4,32.6,10724864
2024-07-16,32.95,33.55,34.0,32.65,11284559
2024-07-17,34.4,34.6,35.3,34.35,15237976
2024-07-18,33.5,32.8,33.6,32.55,9564542
2024-07-19,32.55,32.4,33.45,32.1,11529313
2024-07-22,33.35,33.65,34.15,32.45,11780305
2024-07-23,34.9,33.95,34.95,33.75,11726488
2024-07-24,32.95,32.25,32.95,31.85,9371060
2024-07-25,31.6,31.65,32.15,31.15,7350766
2024-07-26,32.15,32.2,32.4,31.65,5503743
2024-07-29,33.3,32.5,33.3,32.45,8224823
2024-07-30,32.3,31.25,32.3,31.0,9495013
2024-07-31,31.5,32.35,32.55,31.2,9026878
2024-08-01,32.1,31.0,32.1,30.85,11258837
2024-08-02,29.9,29.45,30.35,29.1,13589044
2024-08-05,28.9,28.65,30.05,28.4,12747935
2024-08-06,29.3,28.65,29.65,28.45,8716800
2024-08-07,28.5,27.65,28.55,27.5,18738679
2024-08-08,26.9,26.7,27.45,26.4,14036724
2024-08-09,27.5,27.7,27.9,27.2,9369618
2024-08-12,27.0,26.55,27.15,26.25,10906000
2024-08-13,26.2,26.05,26.35,25.5,11091360
2024-08-14,26.9,26.5,27.1,26.25,9084334
2024-08-15,25.9,26.35,26.75,25.7,6915625
2024-08-16,26.55,26.6,26.9,26.45,7059852
2024-08-19,26.95,27.6,27.95,26.95,11504800
2024-08-20,28.1,27.55,28.4,27.2,9843222
2024-08-21,26.45,26.95,27.4,26.0,11452041
2024-08-22,27.55,27.6,27.75,26.55,12052841
2024-08-23,27.3,27.15,27.3,26.85,6773220
2024-08-26,27.55,29.05,29.15,27.55,16339343
2024-08-27,29.1,30.3,30.35,28.75,13509146
2024-08-28,31.0,30.95,31.3,30.35,19484229
2024-08-29,28.7,29.4,29.75,27.95,19756941
2024-08-30,30.6,31.85,32.8,30.25,29971713
2024-09-02,32.25,31.6,32.3,31.4,10756638
2024-09-03,31.7,32.2,33.25,31.55,12004479
2024-09-04,32.6,32.7,33.25,32.1,10816652
2024-09-05,33.25,33.2,33.7,32.75,11042043
2024-09-09,33.2,32.4,33.85,32.2,19223412
2024-09-10,33.0,33.05,33.8,32.6,15686807
2024-09-11,33.75,34.15,34.5,33.6,13283276
2024-09-12,35.15,34.6,35.3,34.25,10000790
2024-09-13,33.45,34.15,34.65,33.0,8884969
2024-09-16,34.6,35.1,35.1,34.05,2926540
2024-09-17,35.2,35.5,35.85,34.5,3572243
2024-09-19,34.1,35.6,35.8,33.95,11660244
2024-09-20,36.55,38.05,39.45,36.25,31722264
2024-09-23,38.05,37.2,38.3,37.0,11928397
2024-09-24,38.05,39.6,39.6,37.65,17733440
2024-09-25,41.5,39.0,41.9,38.65,19606756
2024-09-26,40.6,43.3,43.65,39.95,26404285
2024-09-27,44.85,47.25,47.4,43.9,32130570
2024-09-30,50.75,52.95,54.85,50.15,34613528
2024-10-02,51.15,55.0,57.35,51.15,26873499
2024-10-03,53.35,50.4,53.35,48.15,21154649
2024-10-04,48.5,50.25,51.4,47.8,15344149
2024-10-07,52.0,51.9,55.0,51.4,16331191
2024-10-08,51.55,45.05,51.6,44.0,40526587
2024-10-09,47.0,46.85,50.6,45.6,36506144
2024-10-10,48.85,50.6,51.5,48.2,28148582
2024-10-14,49.0,47.75,49.05,45.95,21752153
2024-10-15,45.5,44.5,46.6,44.0,26463892
2024-10-16,43.6,43.05,44.45,42.4,18768413
2024-10-17,43.05,41.85,44.5,41.65,11823297
2024-10-18,40.5,42.45,43.6,39.85,27746483
2024-10-21,41.55,41.2,42.35,40.9,16727511
2024-10-22,42.45,42.35,43.9,42.2,20304616
2024-10-23,42.55,44.15,45.05,42.35,17243600
2024-10-24,44.15,42.6,44.55,42.55,11894893
2024-10-25,41.0,41.8,42.9,40.9,24164200
2024-10-28,43.85,44.8,45.6,43.6,19296953
2024-10-29,47.7,45.95,48.4,45.85,19102463
2024-10-30,45.05,44.15,46.25,43.85,17394186
2024-10-31,44.35,45.15,45.7,44.15,13013181
2024-11-01,43.85,44.3,44.95,43.05,14097600
2024-11-04,45.15,47.7,48.05,45.15,21017929
2024-11-05,47.1,49.7,50.15,46.9,22631315
2024-11-06,50.5,49.4,51.85,48.3,22516276
2024-11-07,48.0,50.0,50.8,47.7,19541969
2024-11-08,57.5,57.35,60.0,57.0,55752540
2024-11-11,57.3,59.55,59.8,56.2,32107262
2024-11-12,60.0,56.85,61.6,56.05,28659723
2024-11-13,53.8,54.3,54.6,51.95,27328669
2024-11-14,52.75,50.55,53.05,50.1,27737290
2024-11-15,49.6,49.6,51.2,48.7,22766568
2024-11-18,50.5,50.2,51.35,49.3,18182277
2024-11-19,51.4,51.95,53.25,50.7,20196667
2024-11-20,49.6,50.35,51.85,49.6,21969050
2024-11-21,49.6,47.35,50.0,47.0,27754645
2024-11-22,47.65,45.2,48.1,44.7,24183385
2024-11-25,47.05,45.15,47.1,44.5,25484249
2024-11-26,44.5,44.4,46.0,44.2,13193142
2024-11-27,44.5,46.2,46.65,42.9,24764406
2024-11-28,46.8,45.35,46.9,45.15,13298390
2024-11-29,45.7,46.45,47.25,45.5,15442589
2024-12-02,47.1,48.8,49.6,47.1,23121528
2024-12-03,48.95,48.75,49.25,47.4,18094440
2024-12-04,49.25,50.0,50.95,49.0,20338580
2024-12-05,49.9,49.95,50.75,49.5,13023939
2024-12-06,49.5,50.05,50.5,48.65,16074507
2024-12-09,49.0,52.45,52.55,48.3,22981454
2024-12-10,55.7,51.5,55.8,51.3,24189055
2024-12-11,51.5,50.7,52.5,50.25,10867888
2024-12-12,50.7,50.8,51.6,49.5,14707240
2024-12-13,50.1,47.8,50.2,47.6,18483851
2024-12-16,48.0,48.0,48.6,47.25,9388917
2024-12-17,47.85,48.15,49.4,47.65,10738499
2024-12-18,50.05,50.1,50.2,49.0,11767509
2024-12-19,48.6,48.5,49.15,48.25,10866871
2024-12-20,49.1,48.6,49.6,48.5,11831301
2024-12-23,49.15,49.0,49.45,48.25,6910363
2024-12-24,49.0,50.1,50.4,49.0,6507216
2024-12-27,51.15,49.35,51.5,48.5,18238061
2024-12-30,49.0,46.5,49.4,46.15,21405373
2024-12-31,46.1,46.65,46.9,45.85,8550909
2025-01-02,46.2,45.0,46.3,44.9,15223870
2025-01-03,45.1,44.7,46.35,44.0,17555608
2025-01-06,45.6,46.2,47.05,45.15,17200737
2025-01-07,45.8,47.45,47.9,45.15,22499179
2025-01-08,49.65,48.55,49.9,47.6,30741520
2025-01-09,47.7,46.8,47.8,46.4,12142501
2025-01-10,47.5,46.6,48.05,46.25,7257056
2025-01-13,47.25,46.65,47.25,45.8,10814135
2025-01-14,46.2,50.6,50.65,45.75,29605172
2025-01-15,49.35,50.1,50.4,48.85,16233842
2025-01-16,51.2,53.6,53.8,50.95,30170666
2025-01-17,53.6,54.2,54.7,53.15,12295810
2025-01-20,54.8,56.35,56.65,54.65,18288153
2025-01-21,57.35,59.7,59.85,55.8,30225267
2025-01-22,58.15,57.85,59.35,57.3,17371182
2025-01-23,57.2,55.75,58.1,55.1,18336928
2025-01-24,55.75,57.2,57.7,55.45,10884315
2025-01-27,57.2,58.15,60.05,57.0,16746907
2025-01-28,59.6,59.0,59.6,57.85,2265404
2025-02-03,57.9,58.45,58.75,55.2,10314978
2025-02-04,61.35,65.7,67.2,60.95,21546180
2025-02-05,65.0,64.85,65.65,62.75,19533103
2025-02-06,65.4,67.3,67.5,64.0,19956572
2025-02-07,67.8,68.45,69.35,65.7,34044749
2025-02-10,66.4,67.75,68.15,64.7,26785118
2025-02-11,65.3,61.65,65.3,61.55,46420378
2025-02-12,61.1,62.35,63.25,60.5,23892992
2025-02-13,62.45,60.6,64.3,60.05,33914311
2025-02-14,62.0,64.2,64.35,62.0,27085407
